Year,SumGWG,GDPValue,Name,TertiaryEd,RuleofLaw,IndShare,PopGrowth,Code
2000,82315.484,1.03E+13,USA,68.136,1.608,22.452,1.113,1
2001,115494.125,1.06E+13,USA,68.98,1.593,21.469,0.99,1
2002,111537.187,1.09E+13,USA,79.333,1.548,20.652,0.928,1
2003,108248.004,1.15E+13,USA,81.313,1.591,20.739,0.859,1
2004,134528.183,1.22E+13,USA,81.464,1.436,20.95,0.925,1
2005,131490.177,1.30E+13,USA,82.084,1.54,21.206,0.922,1
2006,146780.681,1.38E+13,USA,82.053,1.605,21.587,0.964,1
2007,145298.583,1.45E+13,USA,83.031,1.628,21.424,0.951,1
2008,140647.063,1.48E+13,USA,85.007,1.64,20.794,0.946,1
2009,118180.348,1.45E+13,USA,88.582,1.598,19.268,0.877,1
2010,124419.832,1.50E+13,USA,94.228,1.638,19.31,0.83,1
2011,85672.084,1.56E+13,USA,96.322,1.6,19.408,0.727,1
2012,73516.356,1.63E+13,USA,94.842,1.627,19.163,0.734,1
2013,79005.412,1.68E+13,USA,88.809,1.557,19.242,0.693,1
2014,74829.495,1.76E+13,USA,86.664,1.61,19.332,0.733,1
2000,107551.006,1.66E+12,UK,58.524,1.776,22.774,0.357,2
2001,103715.907,1.64E+12,UK,59.309,1.696,21.734,0.385,2
2002,101470.277,1.78E+12,UK,62.602,1.684,21.404,0.423,2
2003,99154.861,2.06E+12,UK,62.086,1.705,20.914,0.466,2
2004,98734.396,2.42E+12,UK,59.363,1.627,20.278,0.569,2
2005,98074.94,2.54E+12,UK,59.001,1.569,20.262,0.687,2
2006,95610.598,2.72E+12,UK,59.127,1.786,20.314,0.735,2
2007,93342.543,3.11E+12,UK,58.652,1.737,19.761,0.779,2
2008,92002.658,2.94E+12,UK,56.874,1.708,19.982,0.787,2
2009,89128.083,2.43E+12,UK,58.153,1.739,18.809,0.756,2
2010,90568.303,2.49E+12,UK,59.067,1.782,18.887,0.784,2
2011,93271.589,2.67E+12,UK,58.986,1.668,18.524,0.782,2
2012,93211.589,2.72E+12,UK,59.223,1.736,18.517,0.695,2
2013,93616.086,2.80E+12,UK,56.87,1.698,18.772,0.67,2
2014,95479.181,3.09E+12,UK,56.477,1.879,18.37,0.736,2
2000,298210.628,7.45E+11,Canada,58.884,1.758,29.5,0.931,3
2001,763182.523,7.39E+11,Canada,59.774,1.694,28.448,1.086,3
2002,764338.879,7.61E+11,Canada,60.664,1.693,27.573,1.087,3
2003,765892.331,8.96E+11,Canada,61.555,1.735,27.907,0.901,3
2004,769221.817,1.03E+12,Canada,62.445,1.707,28.391,0.933,3
2005,774367.596,1.17E+12,Canada,63.335,1.662,29.213,0.944,3
2006,769592.68,1.32E+12,Canada,64.226,1.815,28.848,1.01,3
2007,774689.23,1.47E+12,Canada,65.116,1.815,28.686,0.971,3
2008,771549.822,1.55E+12,Canada,66.006,1.808,29.342,1.083,3
2009,762107.876,1.37E+12,Canada,66.897,1.804,25.076,1.142,3
2010,768674.668,1.62E+12,Canada,67.787,1.806,26.351,1.112,3
2011,442379.728,1.79E+12,Canada,68.677,1.736,27.139,0.979,3
2012,446654.481,1.83E+12,Canada,69.568,1.763,26.635,1.086,3
2013,448662.116,1.85E+12,Canada,70.458,1.756,26.613,1.057,3
2014,448955.922,1.81E+12,Canada,71.348,1.891,27.138,1.005,3
2000,278.062,21230182989,Luxembourg,9.814,1.807,16.655,1.344,4
2001,361.341,21387533703,Luxembourg,10.216,1.845,16.314,1.19,4
2002,456.072,23649833332,Luxembourg,11.851,1.904,16.108,1.048,4
2003,420.314,29667268248,Luxembourg,12.186,1.866,16.231,1.215,4
2004,438.672,35064843793,Luxembourg,11.568,1.865,15.439,1.421,4
2005,413.965,37672280120,Luxembourg,10.949,1.831,14.466,1.53,4
2006,396.232,42910146296,Luxembourg,10.331,1.7,13.521,1.595,4
2007,431.491,51587401416,Luxembourg,10.471,1.765,14.476,1.544,4
2008,455.051,58844277702,Luxembourg,10.611,1.801,12.805,1.787,4
2009,481.192,54467289898,Luxembourg,14.443,1.827,11.007,1.852,4
2010,498.353,56213985987,Luxembourg,18.275,1.851,10.998,1.825,4
2011,997.85,61696281326,Luxembourg,18.841,1.833,10.708,2.223,4
2012,965.147,59776383527,Luxembourg,19.407,1.799,10.427,2.402,4
2013,1009.4,65203276467,Luxembourg,19.268,1.816,10.443,2.311,4
2014,1023.135,68804811898,Luxembourg,19.128,1.906,10.811,2.357,4
2000,70074.535,1.95E+12,Germany,50.17,1.664,27.712,0.135,5
2001,135203.844,1.95E+12,Germany,51.008,1.638,27.069,0.168,5
2002,132687.571,2.08E+12,Germany,51.845,1.666,26.379,0.168,5
2003,130062.45,2.50E+12,Germany,52.682,1.675,26.187,0.055,5
2004,127653.972,2.81E+12,Germany,53.52,1.639,26.405,-0.022,5
2005,126725.711,2.85E+12,Germany,54.357,1.664,26.353,-0.057,5
2006,122373.556,2.99E+12,Germany,55.195,1.783,26.974,-0.113,5
2007,124491.337,3.43E+12,Germany,56.032,1.773,27.237,-0.134,5
2008,124534.192,3.75E+12,Germany,56.869,1.746,26.849,-0.19,5
2009,124430.506,3.41E+12,Germany,57.707,1.656,24.736,-0.253,5
2010,124941.797,3.40E+12,Germany,58.544,1.645,26.849,-0.153,5
2011,100851.376,3.75E+12,Germany,59.382,1.627,27.069,-1.854,5
2012,100874.423,3.53E+12,Germany,60.219,1.676,27.284,0.188,5
2013,102583.555,3.73E+12,Germany,61.056,1.65,26.783,0.273,5
2014,105447.108,3.89E+12,Germany,65.474,1.855,27.011,0.417,5
2000,557063.75,4.16E+11,Australia,67.039,1.8,24.59,1.192,6
2001,549487.292,3.79E+11,Australia,67.005,1.751,23.671,1.348,6
2002,525277.043,3.95E+11,Australia,75.752,1.8,23.637,1.221,6
2003,374337.423,4.67E+11,Australia,73.394,1.882,24.059,1.234,6
2004,450150.442,6.14E+11,Australia,71.698,1.816,23.953,1.159,6
2005,364448.402,6.95E+11,Australia,72.292,1.724,24.64,1.32,6
2006,450957.679,7.48E+11,Australia,71.483,1.77,25.644,1.475,6
2007,423818.686,8.54E+11,Australia,72.52,1.761,25.698,0.625,6
2008,354368.894,1.06E+12,Australia,72.919,1.771,25.627,2.004,6
2009,374109.472,9.28E+11,Australia,76.765,1.74,27.065,2.061,6
2010,320837.101,1.15E+12,Australia,80.917,1.765,25.201,1.555,6
2011,414762.637,1.40E+12,Australia,83.471,1.743,26.532,1.39,6
2012,413570.081,1.55E+12,Australia,85.414,1.767,26.391,1.746,6
2013,252157.956,1.58E+12,Australia,86.555,1.779,25.198,1.721,6
2014,293899.593,1.47E+12,Australia,90.307,1.923,25.58,1.492,6
2000,155845.849,1.37E+12,France,54.429,1.403,21.294,0.685,7
2001,73370.393,1.38E+12,France,54.371,1.459,20.938,0.728,7
2002,67738.736,1.50E+12,France,53.38,1.241,20.649,0.727,7
2003,63654.311,1.84E+12,France,54.817,1.367,20.192,0.709,7
2004,63556.931,2.12E+12,France,55.218,1.443,19.958,0.736,7
2005,59898.73,2.20E+12,France,55.439,1.419,19.61,0.754,7
2006,58254.149,2.32E+12,France,55.476,1.474,19.284,0.697,7
2007,61082.738,2.66E+12,France,54.823,1.472,19.137,0.619,7
2008,59961.663,2.93E+12,France,54.52,1.507,18.814,0.559,7
2009,56315.283,2.70E+12,France,54.939,1.453,18.305,0.514,7
2010,55247.893,2.65E+12,France,57.127,1.507,17.846,0.494,7
2011,62025.032,2.87E+12,France,58.025,1.438,17.978,0.484,7
2012,61616.577,2.68E+12,France,59.988,1.443,17.869,0.484,7
2013,64492.441,2.81E+12,France,62.147,1.41,17.972,0.515,7
2014,65350.314,2.86E+12,France,64.39,1.457,17.746,0.474,7
2000,29270.756,1.15E+12,Italy,49.351,0.833,24.309,0.045,8
2001,21156.479,1.17E+12,Italy,52.279,0.861,24.121,0.056,8
2002,25658.725,1.28E+12,Italy,54.95,0.764,24.03,0.149,8
2003,23775.248,1.58E+12,Italy,58.149,0.716,23.479,0.445,8
2004,24693.098,1.81E+12,Italy,61.814,0.602,23.419,0.647,8
2005,22249.381,1.86E+12,Italy,64.085,0.518,23.272,0.491,8
2006,21583.447,1.95E+12,Italy,65.774,0.388,23.401,0.301,8
2007,21096.337,2.21E+12,Italy,66.591,0.479,23.772,0.505,8
2008,20021.524,2.41E+12,Italy,66.442,0.455,23.601,0.662,8
2009,17831.138,2.20E+12,Italy,66.812,0.405,21.885,0.456,8
2010,17161.821,2.14E+12,Italy,66.204,0.461,21.866,0.308,8
2011,15479.874,2.29E+12,Italy,66.177,0.49,21.75,0.172,8
2012,16060.36,2.09E+12,Italy,65.034,0.431,21.345,0.27,8
2013,14444.571,2.14E+12,Italy,63.455,0.441,21.172,1.159,8
2014,13683.669,2.16E+12,Italy,63.096,0.423,20.798,0.918,8
2000,-34631.268,4.97E+12,Japan,48.737,1.387,32.514,0.167,9
2001,-82517.957,4.37E+12,Japan,49.914,1.316,30.981,0.241,9
2002,-85052.468,4.18E+12,Japan,50.708,1.176,30.223,0.233,9
2003,-86706.27,4.52E+12,Japan,51.836,1.196,30.079,0.214,9
2004,-87174.886,4.89E+12,Japan,53.577,1.266,29.967,0.034,9
2005,-89294.107,4.83E+12,Japan,54.971,1.235,29.872,0.009,9
2006,-93448.327,4.60E+12,Japan,57.106,1.363,29.666,0.063,9
2007,-94532.563,4.58E+12,Japan,57.815,1.335,29.597,0.115,9
2008,-101935.218,5.11E+12,Japan,57.639,1.319,28.783,0.048,9
2009,-98405.021,5.29E+12,Japan,57.678,1.294,27.111,-0.012,9
2010,-101617.865,5.76E+12,Japan,58.075,1.326,28.336,0.018,9
2011,-8856.21,6.23E+12,Japan,59.924,1.312,26.701,-0.185,9
2012,-11018.66,6.27E+12,Japan,61.458,1.358,26.563,-0.16,9
2013,-13360.541,5.21E+12,Japan,62.412,1.444,26.651,-0.144,9
2014,-14611.742,4.90E+12,Japan,63.363,1.601,27.314,-0.133,9
2000,18107.075,5.98E+11,Spain,57.811,1.344,27.969,0.447,10
2001,63877.739,6.28E+11,Spain,59.87,1.434,27.955,0.694,10
2002,64063.742,7.09E+11,Spain,61.687,1.257,27.746,1.413,10
2003,69790.021,9.07E+11,Spain,64.085,1.281,27.421,1.808,10
2004,71526.432,1.07E+12,Spain,66.227,1.145,26.994,1.725,10
2005,66204.311,1.15E+12,Spain,67.301,1.128,27.169,1.689,10
2006,63540.066,1.26E+12,Spain,68.692,1.131,26.933,1.69,10
2007,66671.361,1.47E+12,Spain,69.704,1.168,26.304,1.851,10
2008,57520.437,1.63E+12,Spain,71.33,1.194,26.29,1.595,10
2009,56107.244,1.49E+12,Spain,73.728,1.163,24.9,0.886,10
2010,56480.744,1.42E+12,Spain,78.67,1.163,23.16,0.46,10
2011,76909.492,1.48E+12,Spain,83.421,1.177,22.081,0.355,10
2012,76744.107,1.32E+12,Spain,85.546,1.044,21.035,0.065,10
2013,78872.945,1.36E+12,Spain,87.066,1.032,20.28,-0.328,10
2014,80910.714,1.37E+12,Spain,89.072,0.968,20.081,-0.299,10
